"","SG_UF","REGIAO","NM_MUNICIPIO","total_receita","total_beneficiarios","media_receita","tt_abstMulher","tt_aptMulher","percAbsT_Mulher","total_abstencao","total_aptos","perc_abstencao","abstFEMININA","abtMASCULINA"
"233","BA","Nordeste","BARRO ALTO",638991,3361,190.119309729247,4321,18408,0.234734897870491,8872,37168,0.238699956952217,0.487037871956718,0.512962128043282
"234","BA","Nordeste","BARRO PRETO",260209,1354,192.177991137371,1422,5644,0.251948972360028,3251,11676,0.27843439534087,0.437403875730544,0.562596124269455
"235","BA","Nordeste","BARROCAS",491686,2436,201.841543513957,1584,12728,0.124450031426776,3895,25132,0.154981696641732,0.406675224646983,0.593324775353017
"236","BA","Nordeste","BELMONTE",500660,3166,158.136449778901,4755,17844,0.266476126429052,9620,35408,0.271690013556258,0.494282744282744,0.505717255717256
"237","BA","Nordeste","BELO CAMPO",521961,2849,183.208494208494,4521,14998,0.301440192025603,9104,29794,0.305564878834665,0.496594903339192,0.503405096660808
"238","BA","Nordeste","BIRITINGA",831083,3669,226.514854183701,1717,12092,0.141994707244459,3368,23354,0.144215123747538,0.50979809976247,0.49020190023753
"239","BA","Nordeste","BOA NOVA",598205,2944,203.194633152174,4629,12998,0.356131712571165,9798,26028,0.376440756108806,0.472443355786895,0.527556644213105
"240","BA","Nordeste","BOA VISTA DO TUPIM",1048892,3962,264.738011105502,3600,13580,0.265095729013255,7118,26636,0.267232317164739,0.505760044956448,0.494239955043552
"241","BA","Nordeste","BOM JESUS DA LAPA",1733288,8760,197.863926940639,12437,47388,0.262450409386343,24730,91238,0.271049343475306,0.50291144359078,0.49708855640922
"242","BA","Nordeste","BOM JESUS DA SERRA",454526,1780,255.351685393258,2836,8836,0.320959710276143,6031,18008,0.33490670812972,0.470237108273918,0.529762891726082
"243","BA","Nordeste","BONINAL",394004,2055,191.729440389294,3213,10840,0.29640221402214,6232,20868,0.298639064596511,0.515564826700899,0.484435173299101
"244","BA","Nordeste","BONITO",2268264,12580,180.307154213037,14383,70538,0.203904278544898,29084,137804,0.21105338016313,0.494533076605694,0.505466923394306
"245","BA","Nordeste","BOQUIRA",842206,3371,249.838623553842,4412,16496,0.267458777885548,9324,32188,0.289673170125513,0.473187473187473,0.526812526812527
"246","BA","Nordeste","BOTUPORA",387241,1911,202.6378859236,2801,9792,0.286049836601307,5993,19452,0.308091712934403,0.467378608376439,0.532621391623561
"247","BA","Nordeste","BREJOES",336531,1814,185.518743109151,3595,11162,0.322074896971869,7205,22094,0.326106635285598,0.498959056210965,0.501040943789035
"248","BA","Nordeste","BREJOLANDIA",270264,1444,187.163434903047,2479,7734,0.320532712697181,4922,15974,0.308125704269438,0.503657049979683,0.496342950020317
"249","BA","Nordeste","BROTAS DE MACAUBAS",420889,1997,210.760640961442,2471,8770,0.28175598631699,4821,18042,0.267209843698038,0.512549263638249,0.487450736361751
"250","BA","Nordeste","BRUMADO",806186,5915,136.295181741336,6240,49212,0.126798341867837,12661,95476,0.132609242113201,0.492852065397678,0.507147934602322
"251","BA","Nordeste","BUERAREMA",317221,1898,167.13435194942,3046,12660,0.240600315955766,5931,24440,0.242675941080196,0.513572753329961,0.486427246670039
"252","BA","Nordeste","BURITIRAMA",1143649,4241,269.664937514737,4086,14358,0.28458002507313,8532,29906,0.285293920952317,0.478902953586498,0.521097046413502
"253","BA","Nordeste","CAATIBA",179801,1023,175.758553274682,2718,7732,0.351526125193999,5655,15820,0.357458912768647,0.480636604774536,0.519363395225464
"254","BA","Nordeste","CABACEIRAS DO PARAGUACU",838261,3328,251.881310096154,2397,12712,0.188561988672121,4699,23894,0.196660249435005,0.510108533730581,0.489891466269419
"255","BA","Nordeste","CACHOEIRA",1091048,5823,187.368710286794,5796,26190,0.221305841924399,11674,50222,0.232447931185536,0.496487921877677,0.503512078122323
"256","BA","Nordeste","CACULE",271154,1859,145.86013986014,3878,17162,0.225964339820534,7535,33556,0.224550005960186,0.514664897146649,0.485335102853351
"257","BA","Nordeste","CAEM",528032,2343,225.365770379855,1472,7744,0.190082644628099,2896,14644,0.197760174815624,0.50828729281768,0.49171270718232
"258","BA","Nordeste","CAETANOS",625776,2641,236.946611132147,2581,9182,0.281093443694184,5495,19300,0.284715025906736,0.469699727024568,0.530300272975432
"259","BA","Nordeste","CAETITE",893759,5747,155.517487384722,7947,40574,0.195864346625918,16523,78974,0.209220756198242,0.480965926284573,0.519034073715427
"260","BA","Nordeste","CAFARNAUM",821668,3432,239.413752913753,3245,13578,0.238989541906024,6685,26790,0.249533407988055,0.485415108451758,0.514584891548242
"261","BA","Nordeste","CAIRU",557263,2632,211.726063829787,2650,13162,0.201337182798967,4932,25068,0.196744853997128,0.537307380373074,0.462692619626926
"262","BA","Nordeste","CALDEIRAO GRANDE",842480,3303,255.065092340297,2584,9974,0.259073591337477,5229,19416,0.269313967861557,0.494167144769554,0.505832855230446
"263","BA","Nordeste","CAMACARI",4571332,27782,164.542941472896,22725,180382,0.125982636848466,42569,330810,0.128681116048487,0.533839178745096,0.466160821254904
"264","BA","Nordeste","CAMAMU",980830,5309,184.74854021473,7949,25484,0.311921205462251,16487,49620,0.332265215638855,0.482137441620671,0.517862558379329
"265","BA","Nordeste","CAMPO ALEGRE DE LOURDES",1364171,4937,276.315778813044,7023,22746,0.308757583750989,13674,44194,0.309408516993257,0.513602457218078,0.486397542781922
"266","BA","Nordeste","CAMPO FORMOSO",2336828,12497,186.991117868288,11844,53874,0.219846308052122,24281,105848,0.229394981482881,0.487788806062353,0.512211193937647
"267","BA","Nordeste","CANAPOLIS",384402,1793,214.390407138873,4445,17038,0.26088742810189,9324,34534,0.26999478774541,0.476726726726727,0.523273273273273
"268","BA","Nordeste","CANARANA",1220687,5827,209.488072764716,8351,32878,0.253999635014295,17219,65760,0.261846107055961,0.484987513792903,0.515012486207097
"269","BA","Nordeste","CANAVIEIRAS",1105224,5667,195.028057173107,5967,24006,0.248562859285179,11822,46106,0.256409144146098,0.504736931145322,0.495263068854678
"270","BA","Nordeste","CANDEAL",328636,1449,226.80193236715,1392,7360,0.189130434782609,2677,14424,0.185593455352191,0.519985057900635,0.480014942099365
"271","BA","Nordeste","CANDEIAS",1304809,8298,157.243793685225,13242,77632,0.170573990107172,28640,149038,0.192165756384278,0.462360335195531,0.537639664804469
"272","BA","Nordeste","CANDIBA",516056,2191,235.534459151073,1623,10482,0.154836863194047,3317,20830,0.159241478636582,0.489297558034368,0.510702441965632
"273","BA","Nordeste","CANDIDO SALES",843607,4426,190.60257568911,4418,19130,0.230946157867224,8471,36092,0.234705751967195,0.521544091606658,0.478455908393342
"274","BA","Nordeste","CANSANCAO",1738933,7367,236.043572689019,7547,27232,0.277137191539365,14944,54088,0.276290489572548,0.505018736616702,0.494981263383298
"275","BA","Nordeste","CANUDOS",783201,3386,231.305670407561,3398,12408,0.273855577047066,6689,24682,0.271007211733247,0.507998206009867,0.492001793990133
"276","BA","Nordeste","CAPELA DO ALTO ALEGRE",221917,1586,139.922446406053,2439,9326,0.26152691400386,5002,18538,0.269824144999461,0.487604958016793,0.512395041983207
"277","BA","Nordeste","CAPIM GROSSO",617992,3565,173.349789621318,5881,23890,0.246169945583926,11571,45242,0.255757924052871,0.508253392100942,0.491746607899058
"278","BA","Nordeste","CARAIBAS",365691,1651,221.496668685645,2255,8146,0.276822980603977,4864,16716,0.290978703039005,0.463610197368421,0.536389802631579
"279","BA","Nordeste","CARAVELAS",584686,3134,186.562220804084,3881,14072,0.275795906765207,7801,27884,0.27976617415005,0.497500320471734,0.502499679528266
"280","BA","Nordeste","CARDEAL DA SILVA",463563,1909,242.830277632268,1829,7300,0.250547945205479,4109,14588,0.281669865642994,0.445120467266975,0.554879532733025
"281","BA","Nordeste","CARINHANHA",1444075,5835,247.48500428449,6020,21472,0.280365126676602,12376,43132,0.286933135491051,0.486425339366516,0.513574660633484
"282","BA","Nordeste","CASA NOVA",2720539,14123,192.631806273455,10478,51754,0.202457781041079,21081,103478,0.203724463170916,0.497035245007353,0.502964754992647
"283","BA","Nordeste","CASTRO ALVES",896370,4611,194.398178269356,5754,23180,0.248231233822261,11701,44672,0.261931411174785,0.491752841637467,0.508247158362533
"284","BA","Nordeste","CATOLANDIA",143876,591,243.445008460237,682,3282,0.207800121876904,1474,7020,0.20997150997151,0.462686567164179,0.537313432835821
"285","BA","Nordeste","CATU",998613,6545,152.576470588235,7136,42266,0.168835470591019,15250,80544,0.18933750496623,0.467934426229508,0.532065573770492
